date,open,high,low,close,adj close,volume,symbol
20181127,22.67,23.130667,22.366667,22.927999,22.927999,95374500,4
20181127,108.760002,110.029999,108.629997,109.720001,95.627655,9238200,3
20181128,159.009995,159.800003,155.259995,159.339996,159.339996,20767100,2
20181128,44.182499,45.322498,43.732498,45.235001,43.593163,184250000,1
20181128,23.066,23.218666,22.813999,23.191334,23.191334,61914000,4
20181128,109.800003,111.400002,108.870003,110.940002,96.690971,13977300,3
20181129,158.080002,159,153.539993,156.279999,156.279999,20532200,2
20181129,45.665001,45.700001,44.424999,44.887501,43.258286,167080000,1
20181129,23.133333,23.166668,22.636667,22.744667,22.744667,46210500,4
20181129,110.269997,110.800003,109.639999,110.059998,95.923981,11144300,3
20181130,157.899994,160.860001,156.720001,160.860001,160.860001,35071200,2
20181130,45.072498,45.0825,44.2575,44.645,43.024574,158126000,1
20181130,22.788668,23.440001,22.550667,23.365334,23.365334,84436500,4
20181130,109.849998,111.32,109.580002,111.190002,96.908852,18652700,3
20181203,168.639999,168.800003,163.509995,163.740005,163.740005,31174000,2
20181203,46.115002,46.235001,45.302502,46.205002,44.527962,163210000,1
20181203,24,24.4,23.466667,23.899332,23.899332,124597500,4
20181203,112.379997,112.889999,111.739998,112.239998,97.823982,16034500,3
20181204,164.880005,164.979996,156.460007,158.339996,158.339996,22198600,2
20181204,45.237499,45.5975,44.067501,44.172501,42.569233,165377200,1
20181204,23.736668,24.578667,23.466667,23.98,23.98,126928500,4
20181204,111.599998,111.599998,106.730003,107.230003,93.457466,23555900,3
20181206,153,155.869995,150.509995,155.830002,155.830002,25335500,2
20181206,42.939999,43.695,42.605,43.68,42.094601,172393600,1
20181206,23.733999,24.492001,23.384001,24.204,24.204,117637500,4
20181206,105.010002,105.360001,102.879997,105.190002,91.679482,27213900,3
20181207,155.399994,158.050003,151.729996,153.059998,153.059998,17447900,2
20181207,43.372501,43.622501,42.075001,42.122501,40.593636,169126400,1
20181207,24.6,25.299334,23.843332,23.864668,23.864668,172668000,4
20181207,105.160004,106.980003,102.910004,103.290001,90.023514,19248600,3
20181210,150.389999,152.809998,147.479996,151.429993,151.429993,15525500,2
20181210,41.25,42.522499,40.8325,42.400002,40.861065,248104000,1
20181210,24,24.398666,23.541332,24.343332,24.343332,99202500,4
20181210,102.870003,103.489998,99.279999,101.360001,88.341393,23636400,3
20181211,155.259995,156.240005,150.899994,151.830002,151.830002,13651900,2
20181211,42.915001,42.947498,41.75,42.157501,40.627365,189126800,1
20181211,24.660667,24.811333,24.015333,24.450666,24.450666,94632000,4
20181211,103.129997,103.660004,100.209999,100.370003,87.478561,16860700,3
20181212,155.240005,156.169998,151.429993,151.5,151.5,16619200,2
20181212,42.599998,42.98,42.255001,42.275002,40.740604,142510800,1
20181212,24.628,24.794001,24.344,24.440001,24.440001,75405000,4
20181212,101.660004,102.900002,100.059998,101.019997,88.045059,22621500,3
20181213,153.050003,153.460007,150.520004,151.479996,151.479996,12255800,2
20181213,42.622501,43.142502,42.387501,42.737499,41.186317,127594400,1
20181213,24.676666,25.162666,24.450001,25.119333,25.119333,110488500,4
20181213,101.550003,101.970001,100.669998,101.120003,88.132256,17250900,3
20181214,147.710007,150.699997,145.720001,149,149,15560700,2
20181214,42.25,42.27,41.32,41.369999,39.868443,162814800,1
20181214,25,25.191334,24.288668,24.380667,24.380667,95064000,4
20181214,99.989998,101.940002,99.860001,100.290001,87.408836,19879500,3
20181217,146.5,147.940002,142.240005,143.979996,143.979996,15788100,2
20181217,41.362499,42.087502,40.682499,40.985001,39.497421,177151600,1
20181217,24.133333,24.379999,22.925333,23.228001,23.228001,115110000,4
20181217,99.769997,100.559998,98.440002,99.010002,86.293251,25113500,3
20181218,144.279999,144.75,140.110001,140.820007,140.820007,17846600,2
20181218,41.345001,41.8825,41.0975,41.517502,40.010597,135366000,1
20181218,23.369333,23.436666,22.246,22.468666,22.468666,106500000,4
20181218,99.419998,100.889999,98.120003,98.540001,85.883598,20837200,3
20181219,141.039993,141.324997,135.729996,137.139999,137.139999,27657800,2
20181219,41.5,41.862499,39.772499,40.2225,38.762596,196189200,1
20181219,22.506666,23.134001,21.982668,22.198,22.198,124113000,4
20181219,98.410004,100.580002,96.599998,97.290001,84.794136,28767900,3
20181220,135.830002,137.755005,132.910004,135.110001,135.110001,24103800,2
20181220,40.099998,40.5275,38.825001,39.2075,37.784435,259092000,1
20181220,21.803333,22.019333,20.791332,21.025333,21.025333,136078500,4
20181220,96.610001,98.279999,95.690002,96.449997,84.062042,31825200,3
20181221,137.080002,137.190002,130.229996,132,132,28790600,2
20181221,39.215,39.540001,37.407501,37.682499,36.314785,382978400,1
20181221,21.16,21.564667,20.829332,21.318001,21.318001,120252000,4
20181221,96.68,98.43,93.690002,94.169998,82.074875,41313900,3
20181224,130,134.570007,129.770004,131.889999,131.889999,11240700,2
20181224,37.037498,37.887501,36.647499,36.7075,35.375183,148676800,1
20181224,20.9,20.966667,19.68,19.692667,19.692667,83398500,4
20181224,92.889999,94.220001,92.139999,92.139999,80.305618,17009300,3
20181226,132.869995,138.020004,130.179993,138,138,14862400,2
20181226,37.075001,39.307499,36.68,39.2925,37.866348,234330000,1
20181226,20,21.798,19.606001,21.739332,21.739332,122446500,4
20181226,92.690002,95.959999,91.110001,95.959999,83.634979,22542900,3
20181227,135.050003,138.449997,133.889999,138.449997,138.449997,11457400,2
20181227,38.959999,39.192501,37.517502,39.037498,37.620609,212468400,1
20181227,21.322666,21.478001,20.1,21.075333,21.075333,128626500,4
20181227,94.82,97.150002,93.550003,97.040001,84.576263,20304700,3
20181228,139.199997,140.979996,136.789993,139.089996,139.089996,11955300,2
20181228,39.375,39.630001,38.637501,39.057499,37.639885,169165600,1
20181228,21.540001,22.416,21.227333,22.257999,22.257999,149085000,4
20181228,97.949997,98.32,96.440002,96.830002,84.393219,17963300,3
20181231,141.830002,142.020004,136.039993,137.070007,137.070007,11186400,2
20181231,39.6325,39.84,39.119999,39.435001,38.003677,140014000,1
20181231,22.519333,22.614,21.684,22.186666,22.186666,94534500,4
20181231,97.589996,98.809998,96.769997,97.620003,85.081757,13237200,3
20190102,134.130005,137.748993,133.029999,136.699997,136.699997,16708400,2
20190102,38.7225,39.712502,38.557499,39.48,38.047039,148158800,1
20190102,20.406668,21.008667,19.92,20.674667,20.674667,174879000,4
20190102,95.949997,99.779999,95.940002,99.309998,86.554695,15670900,3
20190103,134.270004,134.869995,129.830002,130.600006,130.600006,19531300,2
20190103,35.994999,36.43,35.5,35.547501,34.257282,365248800,1
20190103,20.466667,20.626667,19.825333,20.024,20.024,104478000,4
20190103,98.639999,98.889999,96.690002,97.110001,85.324615,16286400,3
20190104,134.259995,141.080002,133.660004,139.75,139.75,22845400,2
20190104,36.1325,37.137501,35.950001,37.064999,35.719704,234428400,1
20190104,20.4,21.200001,20.181999,21.179333,21.179333,110911500,4
